timestamp,source_ip,destination_ip,url,response_code,usage,sc_bytes
2023-01-01 00:00:00,192.168.0.2,10.0.0.98,http://www.example.com/page0.html,500,Unknown,4937
2023-01-01 00:01:00,192.168.0.12,10.0.0.133,http://www.example.com/page1.html,200,Personal,3150
2023-01-01 00:02:00,192.168.0.117,10.0.0.37,http://www.example.com/page2.html,500,Unknown,3075
2023-01-01 00:03:00,192.168.0.101,10.0.0.82,http://www.example.com/page3.html,404,Borderline Business,5404
2023-01-01 00:04:00,192.168.0.161,10.0.0.136,http://www.example.com/page4.html,404,Violation,6849
2023-01-01 00:05:00,192.168.0.159,10.0.0.137,http://www.example.com/page5.html,200,Violation,5405
2023-01-01 00:06:00,192.168.0.146,10.0.0.157,http://www.example.com/page6.html,500,Personal,1248
2023-01-01 00:07:00,192.168.0.55,10.0.0.33,http://www.example.com/page7.html,404,Personal,7450
2023-01-01 00:08:00,192.168.0.9,10.0.0.2,http://www.example.com/page8.html,404,Personal,3069
2023-01-01 00:09:00,192.168.0.168,10.0.0.32,http://www.example.com/page9.html,404,Unknown,6456
2023-01-01 00:10:00,192.168.0.250,10.0.0.43,http://www.example.com/page10.html,500,Personal,598
2023-01-01 00:11:00,192.168.0.59,10.0.0.97,http://www.example.com/page11.html,200,Violation,9575
2023-01-01 00:12:00,192.168.0.33,10.0.0.51,http://www.example.com/page12.html,200,Violation,3176
2023-01-01 00:13:00,192.168.0.93,10.0.0.25,http://www.example.com/page13.html,404,Borderline Business,7288
2023-01-01 00:14:00,192.168.0.234,10.0.0.43,http://www.example.com/page14.html,200,Violation,3663
2023-01-01 00:15:00,192.168.0.248,10.0.0.29,http://www.example.com/page15.html,404,Unknown,9717
2023-01-01 00:16:00,192.168.0.248,10.0.0.112,http://www.example.com/page16.html,500,Violation,4706
2023-01-01 00:17:00,192.168.0.55,10.0.0.168,http://www.example.com/page17.html,200,Violation,9172
2023-01-01 00:18:00,192.168.0.16,10.0.0.67,http://www.example.com/page18.html,404,Violation,526
2023-01-01 00:19:00,192.168.0.45,10.0.0.134,http://www.example.com/page19.html,200,Borderline Business,1723
2023-01-01 00:20:00,192.168.0.84,10.0.0.197,http://www.example.com/page20.html,500,Borderline Business,6078
2023-01-01 00:21:00,192.168.0.70,10.0.0.123,http://www.example.com/page21.html,500,Borderline Business,5058
2023-01-01 00:22:00,192.168.0.252,10.0.0.76,http://www.example.com/page22.html,404,Borderline Business,8619
2023-01-01 00:23:00,192.168.0.204,10.0.0.45,http://www.example.com/page23.html,404,Violation,9153
2023-01-01 00:24:00,192.168.0.139,10.0.0.89,http://www.example.com/page24.html,500,Violation,3823
2023-01-01 00:25:00,192.168.0.151,10.0.0.45,http://www.example.com/page25.html,404,Borderline Business,3899
2023-01-01 00:26:00,192.168.0.66,10.0.0.227,http://www.example.com/page26.html,404,Violation,5960
2023-01-01 00:27:00,192.168.0.96,10.0.0.31,http://www.example.com/page27.html,500,Unknown,6696
2023-01-01 00:28:00,192.168.0.156,10.0.0.218,http://www.example.com/page28.html,500,Violation,7204
2023-01-01 00:29:00,192.168.0.64,10.0.0.185,http://www.example.com/page29.html,404,Borderline Business,9681
2023-01-01 00:30:00,192.168.0.174,10.0.0.55,http://www.example.com/page30.html,500,Personal,3898
2023-01-01 00:31:00,192.168.0.254,10.0.0.246,http://www.example.com/page31.html,500,Violation,262
2023-01-01 00:32:00,192.168.0.169,10.0.0.93,http://www.example.com/page32.html,404,Borderline Business,6274
2023-01-01 00:33:00,192.168.0.245,10.0.0.231,http://www.example.com/page33.html,404,Violation,4244
2023-01-01 00:34:00,192.168.0.2,10.0.0.120,http://www.example.com/page34.html,500,Borderline Business,630
2023-01-01 00:35:00,192.168.0.175,10.0.0.166,http://www.example.com/page35.html,404,Borderline Business,1445
2023-01-01 00:36:00,192.168.0.143,10.0.0.26,http://www.example.com/page36.html,500,Borderline Business,1269
2023-01-01 00:37:00,192.168.0.90,10.0.0.64,http://www.example.com/page37.html,500,Violation,3681
2023-01-01 00:38:00,192.168.0.178,10.0.0.2,http://www.example.com/page38.html,200,Personal,9698
2023-01-01 00:39:00,192.168.0.196,10.0.0.247,http://www.example.com/page39.html,200,Borderline Business,8905
2023-01-01 00:40:00,192.168.0.95,10.0.0.19,http://www.example.com/page40.html,200,Violation,6135
2023-01-01 00:41:00,192.168.0.104,10.0.0.147,http://www.example.com/page41.html,404,Unknown,8389
2023-01-01 00:42:00,192.168.0.127,10.0.0.187,http://www.example.com/page42.html,500,Unknown,7563
2023-01-01 00:43:00,192.168.0.132,10.0.0.85,http://www.example.com/page43.html,200,Borderline Business,6184
2023-01-01 00:44:00,192.168.0.74,10.0.0.232,http://www.example.com/page44.html,500,Violation,3019
