timestamp,linux_secure action,app,dest,process,src_ip,src_port,user,vendor_action
2022-08-04 21:52:00,denied,app3,destination8,process3,192.168.0.95,57663,user75,blocked
2022-08-27 22:23:13,allowed,app2,destination5,process3,192.168.0.131,6610,user56,session opened
2023-03-10 18:58:08,denied,app2,destination9,process5,192.168.0.142,46433,user53,session opened
2023-01-16 20:17:33,allowed,app3,destination3,process1,192.168.0.109,18315,user41,approved
2023-03-23 15:00:28,allowed,app3,destination7,process2,192.168.0.29,33161,user43,blocked
2022-12-04 12:52:48,allowed,app3,destination10,process1,192.168.0.63,22028,user63,blocked
2023-03-11 14:43:04,denied,app1,destination7,process2,192.168.0.177,40727,user6,session opened
2023-03-30 03:07:55,allowed,app3,destination9,process1,192.168.0.237,9437,user69,blocked
2022-11-29 17:53:23,allowed,app2,destination9,process1,192.168.0.179,24638,user60,blocked
2023-03-22 02:37:44,allowed,app2,destination3,process3,192.168.0.22,27365,user46,blocked
2023-03-28 08:31:57,denied,app2,destination9,process5,192.168.0.26,10421,user51,blocked
2023-03-06 11:49:01,allowed,app2,destination1,process4,192.168.0.74,24658,user92,approved
2023-01-05 20:42:12,allowed,app3,destination5,process2,192.168.0.9,9344,user62,approved
2023-05-02 18:50:24,allowed,app3,destination6,process4,192.168.0.69,33315,user68,session opened
2022-07-09 03:56:00,denied,app1,destination1,process4,192.168.0.99,41982,user75,session opened
2022-07-17 22:24:25,allowed,app2,destination9,process5,192.168.0.60,16603,user65,blocked
2023-03-16 04:32:08,denied,app2,destination6,process5,192.168.0.35,20773,user86,approved
2023-06-16 09:10:28,allowed,app1,destination5,process4,192.168.0.118,43003,user25,session opened
2022-08-31 01:51:49,denied,app1,destination7,process5,192.168.0.102,16376,user32,approved
2023-06-08 22:22:20,allowed,app2,destination4,process5,192.168.0.29,55592,user100,approved
2022-07-18 07:57:06,denied,app3,destination8,process5,192.168.0.111,54533,user46,blocked
2023-06-12 09:10:41,allowed,app3,destination8,process3,192.168.0.20,58679,user29,approved
2023-01-19 03:32:13,denied,app1,destination4,process3,192.168.0.246,15455,user24,blocked
2022-10-16 18:03:41,denied,app1,destination4,process4,192.168.0.205,34337,user86,blocked
2022-12-27 19:49:18,denied,app3,destination6,process5,192.168.0.138,8822,user69,approved
2022-10-06 23:57:38,denied,app2,destination10,process3,192.168.0.129,7789,user27,session opened
2023-04-06 09:53:16,denied,app2,destination6,process2,192.168.0.166,64977,user31,blocked
2022-10-07 18:54:25,allowed,app2,destination3,process4,192.168.0.167,20863,user88,approved
2023-01-11 07:33:24,allowed,app3,destination4,process1,192.168.0.183,52462,user74,blocked
2022-09-24 17:16:44,denied,app1,destination4,process1,192.168.0.40,39735,user33,approved
2023-02-10 03:25:35,denied,app1,destination1,process1,192.168.0.117,57455,user35,approved
2023-03-16 18:04:05,allowed,app2,destination8,process3,192.168.0.69,64864,user56,blocked
2022-08-14 22:33:07,denied,app3,destination3,process5,192.168.0.55,61747,user64,approved
2022-11-09 00:03:36,allowed,app2,destination6,process5,192.168.0.227,17053,user98,session opened
2023-05-23 13:56:01,denied,app2,destination6,process1,192.168.0.57,51078,user29,session opened
2022-08-29 02:29:05,allowed,app1,destination5,process1,192.168.0.68,50572,user3,session opened
2023-06-08 01:54:23,denied,app2,destination8,process5,192.168.0.136,36062,user66,session opened
2022-07-01 05:31:58,allowed,app3,destination5,process3,192.168.0.245,6434,user80,blocked
2023-02-23 13:28:17,allowed,app3,destination6,process2,192.168.0.98,60869,user67,blocked
2022-10-15 10:42:58,denied,app3,destination10,process1,192.168.0.247,41155,user8,session opened
2023-02-18 05:57:19,denied,app3,destination6,process5,192.168.0.99,52101,user33,blocked
2022-12-21 20:17:10,allowed,app1,destination1,process2,192.168.0.221,15287,user46,approved
2022-10-04 20:16:56,allowed,app3,destination5,process3,192.168.0.16,60450,user65,approved
2023-02-17 14:09:42,allowed,app3,destination5,process1,192.168.0.66,25234,user1,approved
2022-07-03 04:48:04,allowed,app3,destination8,process2,192.168.0.185,61405,user31,session opened
2023-01-08 17:21:49,allowed,app3,destination7,process1,192.168.0.204,10201,user15,approved
2022-08-08 03:07:52,allowed,app2,destination2,process4,192.168.0.133,28248,user5,session opened
2023-04-15 12:07:25,denied,app1,destination1,process4,192.168.0.153,59346,user28,session opened
2022-11-28 22:41:54,denied,app3,destination8,process4,192.168.0.226,62865,user88,session opened
2023-04-29 14:30:18,allowed,app3,destination7,process1,192.168.0.140,40063,user31,session opened
2023-06-07 08:54:13,denied,app2,destination2,process2,192.168.0.49,9921,user82,approved
2022-12-14 15:40:42,allowed,app2,destination8,process4,192.168.0.229,63482,user90,blocked
2022-08-20 08:37:23,denied,app3,destination10,process2,192.168.0.2,10736,user27,blocked
2022-10-08 07:21:59,denied,app1,destination5,process4,192.168.0.204,48343,user11,blocked
2022-08-21 15:10:06,allowed,app3,destination2,process3,192.168.0.163,7923,user90,approved
2023-03-12 21:16:57,allowed,app3,destination4,process5,192.168.0.246,58269,user32,approved
2022-08-12 22:24:37,denied,app3,destination3,process5,192.168.0.95,60229,user5,blocked
2023-02-28 06:15:52,denied,app1,destination5,process2,192.168.0.40,12611,user38,blocked
2022-09-23 16:20:40,allowed,app1,destination2,process2,192.168.0.121,42626,user52,approved
2022-11-29 11:48:14,allowed,app2,destination8,process3,192.168.0.243,8428,user50,approved
2023-06-15 01:55:39,denied,app1,destination7,process2,192.168.0.234,54608,user50,session opened
2022-11-03 02:19:55,allowed,app2,destination4,process5,192.168.0.180,57741,user8,session opened
2022-12-03 10:03:35,denied,app1,destination1,process5,192.168.0.227,49594,user99,blocked
2022-11-30 14:24:22,allowed,app2,destination8,process4,192.168.0.190,52556,user68,blocked
2022-11-27 09:09:39,denied,app1,destination6,process2,192.168.0.68,26906,user82,blocked
2023-06-17 17:11:39,denied,app1,destination4,process5,192.168.0.61,19468,user9,session opened
2022-12-25 14:40:39,denied,app1,destination8,process3,192.168.0.197,41187,user6,blocked
2023-02-03 18:00:39,allowed,app3,destination9,process5,192.168.0.252,34341,user25,blocked
2023-05-26 22:10:18,allowed,app1,destination7,process4,192.168.0.138,60178,user83,blocked
2022-12-13 06:33:09,denied,app3,destination1,process2,192.168.0.188,17363,user49,blocked
2022-11-19 23:56:41,allowed,app1,destination10,process1,192.168.0.222,59359,user22,approved
2022-12-24 00:29:11,denied,app3,destination8,process3,192.168.0.100,13703,user57,blocked
2022-10-13 11:07:50,allowed,app3,destination5,process2,192.168.0.28,18556,user35,session opened
2023-03-29 18:23:07,denied,app2,destination4,process3,192.168.0.15,19686,user34,session opened
2022-12-02 14:32:38,allowed,app3,destination4,process5,192.168.0.76,31741,user66,blocked
2022-11-28 19:57:41,denied,app2,destination10,process2,192.168.0.67,36252,user20,blocked
2022-06-30 05:34:05,allowed,app2,destination4,process4,192.168.0.66,58825,user43,approved
2022-11-05 19:34:38,allowed,app1,destination2,process2,192.168.0.153,42275,user31,blocked
2022-07-16 06:52:08,allowed,app3,destination8,process1,192.168.0.210,28765,user52,session opened
2023-04-11 08:03:50,allowed,app1,destination7,process3,192.168.0.162,29879,user14,session opened
2023-04-01 07:42:47,allowed,app3,destination9,process5,192.168.0.244,38555,user49,blocked
2023-03-08 11:18:52,allowed,app2,destination1,process4,192.168.0.32,60709,user44,blocked
2023-01-15 13:45:12,allowed,app1,destination10,process3,192.168.0.229,47868,user69,blocked
2023-06-17 08:12:41,denied,app2,destination10,process5,192.168.0.243,62058,user44,blocked
2023-04-01 08:52:35,denied,app1,destination6,process3,192.168.0.107,40544,user2,approved
2023-01-02 07:47:50,denied,app2,destination10,process4,192.168.0.197,62571,user63,approved
2023-06-02 15:15:12,denied,app1,destination9,process5,192.168.0.210,43678,user9,session opened
2023-04-12 06:58:53,denied,app3,destination7,process1,192.168.0.106,45996,user9,blocked
2022-12-02 07:46:30,denied,app1,destination10,process3,192.168.0.103,2870,user66,approved
2023-01-15 08:05:48,allowed,app2,destination10,process5,192.168.0.208,18655,user14,blocked
2022-09-13 10:29:01,allowed,app3,destination8,process1,192.168.0.249,48931,user52,session opened
2022-08-23 10:16:54,denied,app3,destination1,process4,192.168.0.194,28198,user39,blocked
2023-03-29 04:20:36,allowed,app3,destination1,process3,192.168.0.51,29097,user77,blocked
2023-05-18 16:34:37,allowed,app1,destination7,process1,192.168.0.114,44871,user39,approved
2023-01-09 07:04:03,allowed,app1,destination1,process3,192.168.0.170,4974,user98,approved
2022-12-02 03:31:05,denied,app2,destination6,process3,192.168.0.35,7371,user50,approved
2023-05-24 09:39:56,allowed,app2,destination2,process1,192.168.0.192,10328,user38,session opened
2022-07-17 21:07:36,allowed,app2,destination2,process5,192.168.0.101,6371,user25,approved
2022-08-01 10:46:36,allowed,app2,destination8,process4,192.168.0.179,56238,user99,approved
2023-06-03 18:39:30,denied,app3,destination10,process1,192.168.0.209,50990,user13,blocked
2022-10-08 02:13:40,denied,app1,destination1,process3,192.168.0.111,7549,user37,approved
2022-12-13 21:33:38,denied,app1,destination1,process5,192.168.0.20,54203,user29,blocked
2022-08-23 06:58:17,denied,app2,destination6,process5,192.168.0.94,37822,user43,blocked
2022-11-24 02:19:31,allowed,app1,destination5,process4,192.168.0.239,1775,user37,blocked
2022-06-21 07:26:46,denied,app1,destination4,process4,192.168.0.26,64223,user77,session opened
2023-03-07 17:26:35,denied,app2,destination6,process3,192.168.0.112,55570,user88,blocked
2022-08-30 02:56:01,denied,app2,destination10,process2,192.168.0.159,17653,user95,session opened
2022-09-02 06:37:30,allowed,app1,destination5,process5,192.168.0.208,14859,user53,session opened
2022-11-01 07:30:41,denied,app2,destination10,process2,192.168.0.180,17043,user41,session opened
2022-12-22 03:54:20,allowed,app3,destination7,process3,192.168.0.52,19641,user62,approved
2022-09-05 01:33:28,allowed,app3,destination7,process5,192.168.0.144,46770,user35,blocked
2023-04-26 08:23:02,denied,app1,destination2,process4,192.168.0.23,3310,user10,blocked
2022-09-15 12:40:12,denied,app2,destination9,process1,192.168.0.162,19029,user19,blocked
2022-10-22 05:58:40,denied,app1,destination9,process3,192.168.0.22,46114,user26,session opened
2022-09-25 03:44:37,denied,app2,destination4,process3,192.168.0.74,8293,user2,blocked
2022-08-22 11:12:41,denied,app1,destination2,process1,192.168.0.155,35538,user41,blocked
2023-06-11 21:03:41,denied,app1,destination1,process2,192.168.0.27,50000,user15,approved
2022-10-03 18:34:23,allowed,app1,destination2,process3,192.168.0.7,11801,user18,session opened
2023-04-14 02:36:55,denied,app3,destination2,process1,192.168.0.224,10663,user88,approved
2022-08-28 03:52:02,allowed,app3,destination5,process2,192.168.0.34,1688,user64,blocked
2023-04-10 04:55:48,denied,app1,destination10,process5,192.168.0.215,55574,user88,session opened
2022-10-01 14:40:50,allowed,app2,destination8,process3,192.168.0.71,15450,user40,approved
2023-01-13 00:03:14,denied,app3,destination10,process3,192.168.0.125,57354,user53,approved
2023-03-14 15:19:38,denied,app1,destination5,process5,192.168.0.57,2006,user50,approved
2022-10-16 15:59:11,allowed,app3,destination2,process1,192.168.0.196,1456,user75,approved
2023-06-20 11:52:48,allowed,app3,destination2,process2,192.168.0.185,48345,user34,session opened
2023-04-19 19:05:27,denied,app2,destination7,process2,192.168.0.189,23502,user76,approved
2022-09-12 17:10:24,allowed,app1,destination7,process1,192.168.0.197,53051,user20,blocked
2023-03-30 03:01:47,allowed,app3,destination3,process5,192.168.0.202,4673,user92,session opened
2023-03-28 08:43:46,denied,app3,destination5,process2,192.168.0.41,52609,user12,blocked
